2026-09-10 20:04:59,522 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 12, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer sentinel1/VV (1/6)", "progress_percent": 16.7, "layer": "sentinel1/VV"}
2026-09-10 20:04:59,530 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 13, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer sentinel1/VH (2/6)", "progress_percent": 33.3, "layer": "sentinel1/VH"}
2026-09-10 20:04:59,554 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 14, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer modis/FLOOD (3/6)", "progress_percent": 50.0, "layer": "modis/FLOOD"}
2026-09-10 20:04:59,569 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 15, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer modis/NDVI (4/6)", "progress_percent": 66.7, "layer": "modis/NDVI"}
2026-09-10 20:04:59,582 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 16, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer modis/NDWI (5/6)", "progress_percent": 83.3, "layer": "modis/NDWI"}
2026-09-10 20:04:59,597 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 17, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer gpm/rainfall_daily (6/6)", "progress_percent": 100.0, "layer": "gpm/rainfall_daily"}
2026-09-10 20:04:59,614 INFO    [Thread-73 (_pipeline_worker)] etl.module9_fusion [M9] Saving fusion H5 to FUSION tier: C:\Users\hakim\AppData\Local\Temp\pytest-of-hakim\pytest-38\test_produces_exactly_one_stac0\datasets\20_PERSAT_1789045498.613738\20240305\fusion\fusion_20240305_processed.h5 level=PROCESSED shape=(24, 32) layers=6 ['gpm/rainfall_daily', 'modis/FLOOD', 'modis/NDVI', 'modis/NDWI', 'sentinel1/VH', 'sentinel1/VV']
2026-09-10 20:04:59,671 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=40 scene=23 stage=FUSION attempt=1
2026-09-10 20:04:59,674 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=40 -> RUNNING
2026-09-10 20:04:59,683 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=62 scene=23 band=FUSION_PROCESSED tier=FUSION level=PROCESSED source=FUSION dataset=20 file=fusion_20240305_processed.h5
2026-09-10 20:04:59,692 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=38 parent=53 →[FUSION]→ child=62
2026-09-10 20:04:59,696 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=39 parent=54 →[FUSION]→ child=62
2026-09-10 20:04:59,703 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=40 -> SUCCESS
2026-09-10 20:04:59,703 INFO    [Thread-73 (_pipeline_worker)] etl.module9_fusion [M9] fusion_id=1 dataset=20 date=2024-03-05 level=PROCESSED sources={'SENTINEL1': 'RAW', 'MODIS': 'PROCESSED', 'GPM': 'RAW'} path=C:\Users\hakim\AppData\Local\Temp\pytest-of-hakim\pytest-38\test_produces_exactly_one_stac0\datasets\20_PERSAT_1789045498.613738\20240305\fusion\fusion_20240305_processed.h5 hash=7d5bb98b9eba
2026-09-10 20:04:59,708 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 18, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "COMPLETED", "message": "FUSION completed", "layers": ["gpm/rainfall_daily", "modis/FLOOD", "modis/NDVI", "modis/NDWI", "sentinel1/VH", "sentinel1/VV"], "processing_levels": ["PROCESSED"], "output_paths": ["C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-38\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1789045498.613738\\20240305\\fusion\\fusion_20240305_processed.h5"], "file_size_mb": 0.038, "duration_seconds": 0.203, "memory_peak_mb": 190.88, "cpu_peak_percent": 0.0}
2026-09-10 20:04:59,732 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 19, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "ORCHESTRATOR", "stage": "SCENE_PIPELINE", "status": "COMPLETED", "message": "Scene processed successfully (tiers: RAW, BRONZE, SILVER, GOLD, FUSION)", "duration_seconds": 0.984, "produced_tiers": ["RAW", "BRONZE", "SILVER", "GOLD", "FUSION"], "storage_breakdown_mb": {"RAW": 0.006, "BRONZE": 0.009, "SILVER": 0.009, "GOLD": 0.009, "FUSION": 0.041}, "total_size_mb": 0.074}
2026-09-10 20:04:59,746 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log closed for dataset='PERSAT_1789045498.613738'
